YEAR,LocationDesc,StateCode,Data_Value,Lung Cancer
2011,Alabama,AL,24.3,4240
2011,Alaska,AK,22.9,380
2011,Arizona,AZ,19.3,3820
2011,Arkansas,AR,27,2660
2011,California,CA,13.7,17660
2011,Colorado,CO,18.3,2250
2011,Connecticut,CT,17.1,2680
2011,Delaware,DE,21.8,780
2011,Florida,FL,19.3,17150
2011,Georgia,GA,21.2,6410
2011,Hawaii,HI,16.8,780
2011,Idaho,ID,17.2,870
2011,Illinois,IL,20.9,9210
2011,Indiana,IN,25.6,5520
2011,Iowa,IA,20.4,2480
2011,Kansas,KS,22,1990
2011,Kentucky,KY,29,4860
2011,Louisiana,LA,25.7,3630
2011,Maine,ME,22.8,1400
2011,Maryland,MD,19.1,3960
2011,Massachusetts,MA,18.2,4970
2011,Michigan,MI,23.3,8140
2011,Minnesota,MN,19.1,3340
2011,Mississippi,MS,26,2430
2011,Missouri,MO,25,5470
2011,Montana,MT,22.1,750
2011,Nebraska,NE,20,1270
2011,Nevada,NV,22.9,1510
2011,New Hampshire,NH,19.4,1110
2011,New Jersey,NJ,16.8,6210
2011,New Mexico,NM,21.5,980
2011,New York,NY,18.1,14200
2011,North Carolina,NC,21.8,7300
2011,North Dakota,ND,21.9,420
2011,Ohio,OH,25.1,10060
2011,Oklahoma,OK,26.1,3270
2011,Oregon,OR,19.7,2860
2011,Pennsylvania,PA,22.4,10900
2011,Rhode Island,RI,20,880
2011,South Carolina,SD,23.1,3900
2011,South Dakota,SD,23,580
2011,Tennessee,TN,23,5870
2011,Texas,TX,19.2,13880
2011,Utah,UT,11.8,630
2011,Vermont,VT,19.1,360
2011,Virginia,VA,20.9,400
2011,Washington,WA,17.5,3090
2011,West Virginia,WV,28.6,1480
2011,Wisconsin,WI,20.9,2940
2011,Wyoming,WY,23,260
2012,Alabama,AL,23.8,1090
2012,Alaska,AK,20.5,70
2012,Arizona,AZ,17.1,1650
2012,Arkansas,AR,25,570
2012,California,CA,12.6,9250
2012,Colorado,CO,17.7,1470
2012,Connecticut,CT,16,1290
2012,Delaware,DE,19.7,280
2012,Florida,FL,17.7,5450
2012,Georgia,GA,20.4,2150
2012,Hawaii,HI,14.6,280
2012,Idaho,ID,16.4,400
2012,Illinois,IL,18.6,2460
2012,Indiana,IN,24,1450
2012,Iowa,IA,18.1,850
2012,Kansas,KS,19.4,610
2012,Kentucky,KY,28.3,1370
2012,Louisiana,LA,24.8,810
2012,Maine,ME,20.3,480
2012,Maryland,MD,16.2,1420
2012,Massachusetts,MA,16.4,2190
2012,Michigan,MI,23.3,2700
2012,Minnesota,MN,18.8,1130
2012,Mississippi,MS,24,510
2012,Missouri,MO,23.9,1280
2012,Montana,MT,19.7,320
2012,Nebraska,NE,19.7,380
2012,Nevada,NV,18.1,510
2012,New Hampshire,NH,17.2,1130
2012,New Jersey,NJ,17.3,5990
2012,New Mexico,NM,19.3,1090
2012,New York,NY,16.2,13620
2012,North Carolina,NC,20.9,7950
2012,North Dakota,ND,21.2,460
2012,Ohio,OH,23.3,3030
2012,Oklahoma,OK,23.3,750
2012,Oregon,OR,17.9,1290
2012,Pennsylvania,PA,21.4,3470
2012,Rhode Island,RI,17.4,860
2012,South Carolina,SD,22.5,4270
2012,South Dakota,SD,22,620
2012,Tennessee,TN,24.9,1640
2012,Texas,TX,18.2,4020
2012,Utah,UT,10.6,780
2012,Vermont,VT,16.5,220
2012,Virginia,VA,19,2150
2012,Washington,WA,17.2,2140
2012,West Virginia,WV,28.2,2070
2012,Wisconsin,WI,20.4,1370
2012,Wyoming,WY,21.8,150
2013,Alabama,AL,21.5,1300
2013,Alaska,AK,22.6,90
2013,Arizona,AZ,16.3,1400
2013,Arkansas,AR,25.9,530
2013,California,CA,12.5,8530
2013,Colorado,CO,17.7,1310
2013,Connecticut,CT,15.5,1080
2013,Delaware,DE,19.6,300
2013,Florida,FL,16.8,5330
2013,Georgia,GA,18.8,2360
2013,Hawaii,HI,13.3,380
2013,Idaho,ID,17.2,420
2013,Illinois,IL,18,2480
2013,Indiana,IN,21.9,1470
2013,Iowa,IA,19.5,980
2013,Kansas,KS,20,800
2013,Kentucky,KY,26.5,1540
2013,Louisiana,LA,23.5,770
