YEAR,LocationAbbr,LocationDesc,TopicType,TopicDesc,MeasureDesc,DataSource,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Gender,Race,Age,Education,GeoLocation,TopicTypeId,TopicId,MeasureId,StratificationID1,StratificationID2,StratificationID3,StratificationID4,SubMeasureID,DisplayOrder
2014-2015,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,21.9,,,0.6,20.7,23.1,"11,114",Overall,White,All Ages,All Grades,"(32.84057112200048, -86.63186076199969)",BEH,100BEH,112CS2,1GEN,8AGE,5RAC,6EDU,BRF34,34
2014-2015,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,20.1,,,1.0,18.2,22.0,"4,016",Overall,African American,All Ages,All Grades,"(32.84057112200048, -86.63186076199969)",BEH,100BEH,112CS2,1GEN,8AGE,1RAC,6EDU,BRF30,30
2014-2015,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,19.4,,,4.0,11.6,27.2,164,Overall,Hispanic,All Ages,All Grades,"(32.84057112200048, -86.63186076199969)",BEH,100BEH,112CS2,1GEN,8AGE,4RAC,6EDU,BRF33,33
2014-2015,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,13.9,,,3.4,7.2,20.6,170,Overall,Asian/Pacific Islander,All Ages,All Grades,"(32.84057112200048, -86.63186076199969)",BEH,100BEH,112CS2,1GEN,8AGE,3RAC,6EDU,BRF32,32
2014-2015,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,36.5,,,7.2,22.4,50.6,114,Overall,American Indian/Alaska Native,All Ages,All Grades,"(32.84057112200048, -86.63186076199969)",BEH,100BEH,112CS2,1GEN,8AGE,2RAC,6EDU,BRF31,31
2014-2015,AK,Alaska,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,16.7,,,0.8,15.2,18.2,"5,656",Overall,White,All Ages,All Grades,"(64.84507995700051, -147.72205903599973)",BEH,100BEH,112CS2,1GEN,8AGE,5RAC,6EDU,BRF34,34
2014-2015,AK,Alaska,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,19.5,,,4.9,9.8,29.2,106,Overall,African American,All Ages,All Grades,"(64.84507995700051, -147.72205903599973)",BEH,100BEH,112CS2,1GEN,8AGE,1RAC,6EDU,BRF30,30
2014-2015,AK,Alaska,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,16.8,,,3.5,10.0,23.6,224,Overall,Hispanic,All Ages,All Grades,"(64.84507995700051, -147.72205903599973)",BEH,100BEH,112CS2,1GEN,8AGE,4RAC,6EDU,BRF33,33
2014-2015,AK,Alaska,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,24.0,,,2.2,19.7,28.3,648,Overall,Asian/Pacific Islander,All Ages,All Grades,"(64.84507995700051, -147.72205903599973)",BEH,100BEH,112CS2,1GEN,8AGE,3RAC,6EDU,BRF32,32
2014-2015,AK,Alaska,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,33.0,,,3.0,27.0,39.0,616,Overall,American Indian/Alaska Native,All Ages,All Grades,"(64.84507995700051, -147.72205903599973)",BEH,100BEH,112CS2,1GEN,8AGE,2RAC,6EDU,BRF31,31
