,Data_Value,colx,nIndex
0,51.7,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015AL
1,21.4,Cigarette Use (Adults)Current Smoking,2015AL
2,56.2,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015AL
3,71.4,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015AL
4,28.6,Cigarette Use (Adults)Smoking FrequencySome Days,2015AL
5,21.4,Cigarette Use (Adults)Smoking StatusCurrent,2015AL
6,22.9,Cigarette Use (Adults)Smoking StatusFormer,2015AL
7,55.7,Cigarette Use (Adults)Smoking StatusNever,2015AL
8,19.1,Cigarette Use (Adults)Current Smoking,2015AK
9,58.4,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015AK
10,54.0,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015AK
11,72.9,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015AK
12,27.1,Cigarette Use (Adults)Smoking FrequencySome Days,2015AK
13,19.1,Cigarette Use (Adults)Smoking StatusCurrent,2015AK
14,26.8,Cigarette Use (Adults)Smoking StatusFormer,2015AK
15,54.1,Cigarette Use (Adults)Smoking StatusNever,2015AK
16,14.0,Cigarette Use (Adults)Current Smoking,2015AZ
17,64.1,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015AZ
18,47.7,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015AZ
19,65.4,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015AZ
20,34.6,Cigarette Use (Adults)Smoking FrequencySome Days,2015AZ
21,14.0,Cigarette Use (Adults)Smoking StatusCurrent,2015AZ
22,25.0,Cigarette Use (Adults)Smoking StatusFormer,2015AZ
23,60.9,Cigarette Use (Adults)Smoking StatusNever,2015AZ
24,24.9,Cigarette Use (Adults)Current Smoking,2015AR
25,49.2,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015AR
26,57.2,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015AR
27,70.1,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015AR
28,29.9,Cigarette Use (Adults)Smoking FrequencySome Days,2015AR
29,24.9,Cigarette Use (Adults)Smoking StatusCurrent,2015AR
30,24.1,Cigarette Use (Adults)Smoking StatusFormer,2015AR
31,51.1,Cigarette Use (Adults)Smoking StatusNever,2015AR
32,11.7,Cigarette Use (Adults)Current Smoking,2015CA
33,66.3,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015CA
34,52.0,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015CA
35,61.8,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015CA
36,38.2,Cigarette Use (Adults)Smoking FrequencySome Days,2015CA
37,11.7,Cigarette Use (Adults)Smoking StatusCurrent,2015CA
38,23.0,Cigarette Use (Adults)Smoking StatusFormer,2015CA
39,65.3,Cigarette Use (Adults)Smoking StatusNever,2015CA
40,15.6,Cigarette Use (Adults)Current Smoking,2015CO
41,63.0,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015CO
42,52.0,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015CO
43,65.9,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015CO
44,34.1,Cigarette Use (Adults)Smoking FrequencySome Days,2015CO
45,15.6,Cigarette Use (Adults)Smoking StatusCurrent,2015CO
46,26.6,Cigarette Use (Adults)Smoking StatusFormer,2015CO
47,57.7,Cigarette Use (Adults)Smoking StatusNever,2015CO
48,13.5,Cigarette Use (Adults)Current Smoking,2015CT
49,67.1,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015CT
50,52.7,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015CT
51,66.7,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015CT
52,33.3,Cigarette Use (Adults)Smoking FrequencySome Days,2015CT
53,13.5,Cigarette Use (Adults)Smoking StatusCurrent,2015CT
54,27.4,Cigarette Use (Adults)Smoking StatusFormer,2015CT
55,59.1,Cigarette Use (Adults)Smoking StatusNever,2015CT
56,17.4,Cigarette Use (Adults)Current Smoking,2015DE
57,60.9,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015DE
58,51.2,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015DE
59,68.7,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015DE
60,31.3,Cigarette Use (Adults)Smoking FrequencySome Days,2015DE
61,17.4,Cigarette Use (Adults)Smoking StatusCurrent,2015DE
62,27.0,Cigarette Use (Adults)Smoking StatusFormer,2015DE
63,55.6,Cigarette Use (Adults)Smoking StatusNever,2015DE
64,16.0,Cigarette Use (Adults)Current Smoking,2015DC
65,57.4,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015DC
66,60.3,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015DC
67,54.2,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015DC
68,45.8,Cigarette Use (Adults)Smoking FrequencySome Days,2015DC
69,16.0,Cigarette Use (Adults)Smoking StatusCurrent,2015DC
70,21.5,Cigarette Use (Adults)Smoking StatusFormer,2015DC
71,62.5,Cigarette Use (Adults)Smoking StatusNever,2015DC
72,15.8,Cigarette Use (Adults)Current Smoking,2015FL
73,63.9,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015FL
74,58.9,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015FL
75,67.2,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015FL
76,32.8,Cigarette Use (Adults)Smoking FrequencySome Days,2015FL
77,15.8,Cigarette Use (Adults)Smoking StatusCurrent,2015FL
78,28.0,Cigarette Use (Adults)Smoking StatusFormer,2015FL
79,56.2,Cigarette Use (Adults)Smoking StatusNever,2015FL
80,17.7,Cigarette Use (Adults)Current Smoking,2015GA
81,55.7,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015GA
82,57.5,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015GA
83,69.6,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015GA
84,30.4,Cigarette Use (Adults)Smoking FrequencySome Days,2015GA
85,17.7,Cigarette Use (Adults)Smoking StatusCurrent,2015GA
86,22.2,Cigarette Use (Adults)Smoking StatusFormer,2015GA
87,60.1,Cigarette Use (Adults)Smoking StatusNever,2015GA
88,27.4,Cigarette Use (Adults)Current Smoking,2015GU
89,38.9,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015GU
90,64.0,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015GU
91,72.0,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015GU
92,28.0,Cigarette Use (Adults)Smoking FrequencySome Days,2015GU
93,27.4,Cigarette Use (Adults)Smoking StatusCurrent,2015GU
94,17.4,Cigarette Use (Adults)Smoking StatusFormer,2015GU
95,55.2,Cigarette Use (Adults)Smoking StatusNever,2015GU
96,14.1,Cigarette Use (Adults)Current Smoking,2015HI
97,64.2,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015HI
98,53.8,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015HI
99,71.3,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015HI
100,28.7,Cigarette Use (Adults)Smoking FrequencySome Days,2015HI
101,14.1,Cigarette Use (Adults)Smoking StatusCurrent,2015HI
102,25.3,Cigarette Use (Adults)Smoking StatusFormer,2015HI
103,60.6,Cigarette Use (Adults)Smoking StatusNever,2015HI
104,13.8,Cigarette Use (Adults)Current Smoking,2015ID
105,63.0,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015ID
106,49.3,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015ID
107,71.8,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015ID
108,28.2,Cigarette Use (Adults)Smoking FrequencySome Days,2015ID
109,13.8,Cigarette Use (Adults)Smoking StatusCurrent,2015ID
110,23.6,Cigarette Use (Adults)Smoking StatusFormer,2015ID
